iter	Passed	Remaining
0	1	113
1	2	105
2	3	106
3	4	101
4	5	99
5	6	98
6	7	98
7	8	102
8	10	101
9	12	108
10	13	112
11	16	122
12	17	119
13	18	116
14	20	113
15	21	111
16	22	109
17	23	106
18	24	103
19	25	101
20	26	98
21	28	100
22	30	100
23	31	98
24	32	96
25	33	93
26	33	91
27	34	89
28	35	87
29	36	85
30	37	83
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	44	76
37	45	74
38	46	73
39	47	71
40	48	69
41	49	68
42	50	66
43	51	65
44	52	63
45	53	62
46	53	60
47	54	59
48	55	58
49	56	56
50	57	55
51	60	56
52	61	54
53	63	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	73	42
63	74	42
64	76	41
65	77	40
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	107	11
90	109	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
